time,distance,strafes,pre,max,height,sync,crouchjump,-forward
1669132831,277.7816,10,275.101,359,56.9,78,yes,yes
1669132833,268.7088,8,272.851,348,56.9,68,yes,yes
1669132835,265.7666,10,273.601,355,56.9,85,yes,yes
1669132837,279.5607,10,274.851,363,56.9,87,yes,yes
1669132839,277.0396,10,274.851,354,56.9,72,yes,yes
1669132841,279.9722,10,274.601,365,56.9,79,yes,yes
1669132843,276.1690,10,275.851,353,56.9,65,yes,yes
1669132845,276.6130,10,275.351,363,56.9,84,yes,yes
1669132851,277.3790,10,272.850,360,56.9,82,yes,yes
1669132856,278.1090,10,276.101,354,56.9,76,yes,yes
1669132858,280.3613,10,275.601,367,56.9,86,yes,yes
1669132860,276.9470,10,275.601,360,56.9,73,yes,yes
1669132862,278.0852,10,275.101,358,56.9,83,yes,yes
1669132864,279.6972,10,275.101,363,56.9,82,yes,yes
1669132866,279.1963,10,275.351,360,56.9,80,yes,yes
1669132869,278.6116,10,272.976,363,56.9,89,yes,yes
1669132871,275.5191,10,274.851,348,56.9,63,yes,yes
1669132873,271.9921,10,274.851,331,56.9,47,yes,yes
1669132884,275.1777,10,275.601,347,56.9,67,yes,yes
1669132886,277.1978,10,275.351,351,56.9,65,yes,yes
1669132888,276.6781,10,275.601,342,56.9,53,yes,yes
1669132890,281.0688,10,275.351,363,56.9,80,yes,yes
1669132892,276.4240,10,276.101,350,56.9,62,yes,yes
1669132894,276.9033,10,275.351,351,56.9,77,yes,yes
1669132896,269.3660,10,275.351,358,56.9,86,yes,yes
1669132898,280.0197,10,275.601,358,56.9,85,yes,yes
1669132900,275.6132,10,274.601,354,56.9,72,yes,yes
1669132902,279.7963,10,274.851,357,56.9,70,yes,yes
1669132904,279.1595,10,275.851,361,56.9,81,yes,yes
1669132906,277.2482,10,274.851,356,56.9,84,yes,yes
1669132909,274.9362,10,275.351,350,56.9,69,yes,yes
1669132912,278.7899,10,275.101,359,56.9,85,yes,yes
1669132914,279.4753,10,274.851,358,56.9,72,yes,yes
1669132916,279.9141,10,274.601,363,56.9,85,yes,yes
1669132918,273.4573,10,275.101,341,56.9,71,yes,yes
1669132920,276.2105,10,272.851,356,56.9,80,yes,yes
1669132923,267.2157,10,274.726,329,56.9,44,yes,yes
1669132927,275.5420,10,275.601,348,56.9,66,yes,yes
1669132929,276.6731,10,273.601,350,56.9,71,yes,yes
1669132931,272.8293,10,274.851,342,56.9,75,yes,yes
1669132949,264.9846,8,275.351,330,56.9,51,yes,yes
1669132950,277.6636,10,275.351,354,56.9,72,yes,yes
1669132954,278.7359,10,275.351,363,56.9,80,yes,yes
1669132956,277.0294,10,276.101,353,56.9,81,yes,yes
1669132958,278.5926,10,274.851,357,56.9,74,yes,yes
1669132960,278.5367,10,274.851,357,56.9,78,yes,yes
1669132963,265.8787,10,275.351,336,56.9,77,yes,yes
1669132965,277.3677,10,274.851,356,56.9,75,yes,yes
1669132968,267.3585,10,275.601,328,56.9,42,yes,yes
1669132970,273.9880,10,274.601,353,56.9,68,yes,yes
1669132972,264.7924,8,275.101,343,56.9,74,yes,yes
1669132979,276.9887,10,275.351,358,56.9,81,yes,yes
1669132981,277.1843,10,275.601,355,56.9,83,yes,yes
1669132983,279.2908,10,275.351,358,56.9,76,yes,yes
